Lemma	Occorrenze	Presente in VdB 1980	Presente in VdB 2016
nessuno	42	1	1
trovare	79	1	1
ridire	3	0	0
etichetta	1	1	1
disciplina	2	1	1
dare	142	1	1
man	4	0	0
forte	14	1	1
col	134	0	0
ordine	16	1	1
piazza	19	1	1
arma	10	1	1
Sitz'	1	0	0
ruhig	1	0	0
pulisciti	1	0	0
muso	8	1	1
unico	20	1	1
agio	2	1	1
scarnificare	2	0	0
pollastro	1	0	0
accanimento	2	0	0
minuzioso	2	0	0
fibra	2	1	1
coltellino	1	0	0
appuntire	3	0	1
lei	131	1	1
specie	37	1	1
lancetta	1	0	1
chirurgo	1	1	1
pure	34	1	1
portarcela	1	0	0
esempio	14	1	1
osare	7	1	1
stralunare	1	0	0
ala	9	1	1
cuffia	2	1	1
inamidato	1	0	0
dente	8	1	1
stretto	16	1	1
giallo	7	1	1
faccina	1	0	0
topo	5	1	1
paura	34	1	1
quindi	7	1	1
luogo	25	1	1
dove	116	1	1
luce	17	1	1
antagonismo	1	0	0
incompatibilità	1	0	0
follia	3	1	1
ipocrisia	1	1	0
proprio	53	1	1
determinare	1	1	1
ribellione	3	1	0
dilungare	1	0	0
raccontare	37	1	1
imbandire	1	0	0
incontrare	27	1	1
resto	16	1	1
giornata	22	1	1
ritirata	2	1	1
stanza	15	1	1
pizzo	6	1	1
ricamo	3	1	1
fìlé	1	0	0
verità	7	1	1
lavoro	14	1	1
tradizionalmente	1	0	0
donnesco	1	0	0
accudire	1	0	1
essi	9	0	1
sfogare	5	1	1
passione	15	1	1
guerriero	1	1	1
rappresentare	2	1	1
mappa	4	0	1
geografìche	1	0	0
stendere	10	1	1
su	208	1	1
cuscino	4	1	1
drappo	1	0	0
arazzo	2	0	0
li	71	0	1
punteggiare	1	0	0
spillo	2	1	1
bandierina	4	0	0
segnare	6	0	1
piano	18	1	1
battaglia	16	1	1
Guerre	3	0	0
Successione	3	0	0
conoscere	24	1	1
menadito	1	0	0
oppure	22	1	1
ricamare	3	1	1
cannone	4	1	0
vario	9	1	1
traiettoria	2	0	0
partire	17	1	1
bocca	30	1	1
fuoco	20	1	1
forcella	15	0	0
tiro	6	1	1
angolo	3	1	1
proiezione	1	0	1
competente	1	1	1
balistico	1	0	0
disposizione	5	1	1
biblioteca	3	1	1
Generale	4	0	0
trattato	4	1	1
arte	10	1	1
atlante	1	0	0
Von	4	0	0
Kurtewitz	4	0	0
Konradine	2	0	0
figlia	12	1	1
Konrad	1	0	0
von	2	0	0
vent'	1	0	0
occupare	3	1	1
comando	3	1	1
truppa	16	1	1
Maria	3	0	0
Teresa	2	0	0
d'	39	0	0
Orfana	1	0	0
portare	95	1	1
dietro	64	1	1
campo	14	1	1
niente	44	1	1
romanzesco	1	0	0
viaggiare	2	1	1
ben	31	0	0
equipaggiato	1	0	0
alloggiare	1	1	0
castello	6	1	1
migliore	7	1	1
