Lemma	Occorrenze	Presente in VdB 1980	Presente in VdB 2016
amarezza	2	1	0
avversione	4	0	0
ospitare	1	1	1
incoraggiare	2	1	1
catturare	4	1	1
sottolineare	1	1	1
intenzione	7	1	1
aggressivo	1	0	1
presentare	15	1	1
restituire	2	1	1
ingiustificato	2	0	0
rapporto	15	1	1
dignitoso	1	0	0
nobiluomo	1	0	0
servitore	5	0	0
armato	6	0	1
fez	10	0	0
farfugliare	3	0	0
scusa	1	1	1
famiglio	3	0	0
potatura	3	0	0
Cavaliere	28	0	0
Acchiappiam	1	0	0
acchiappiam	1	0	0
sghembo	2	0	0
primogenito	3	0	0
rampollo	1	0	0
India	6	0	0
pei	1	0	0
vialetto	2	0	0
cerchio	4	1	1
manovrare	1	1	0
cin3	1	0	0
que	11	0	0
rovinare	2	1	1
aiuola	1	1	1
vice	1	0	1
condotta	3	1	1
dentro	19	1	1
assistere	4	1	1
trambusto	2	0	0
spazioso	1	1	1
caro	6	1	1
solennemente	1	0	0
gradinata	1	0	0
vestaglia	1	1	0
papalino	2	0	0
stranamente	1	0	0
circolare	3	1	1
baroncino	1	0	0
trotterellare	5	0	0
vasca	4	1	1
zampillo	2	0	0
rosetta	1	0	1
annaffiare	1	1	1
imprevedibile	3	0	0
infido	2	0	0
indole	2	0	0
incarico	2	1	1
ciarlare	1	0	0
amichevolmente	1	0	0
ingraziarselo	1	0	0
qualità	1	1	1
conversatore	1	0	0
affidamento	1	1	1
ritroso	2	0	0
domanda	12	1	1
uguale	7	1	1
palandrana	1	0	0
pressapoco	3	0	0
indisturbato	1	0	0
tendina	3	0	0
scoperse	4	0	0
gettare	20	1	1
bacca	1	1	1
impannata	1	0	0
aperse	2	0	0
recludere	1	0	0
disperato	6	0	1
superficie	1	1	1
terrestre	1	1	1
sostegno	2	1	1
irregolare	4	1	0
avvenire	7	1	1
scatto	4	1	1
precario	1	0	1
zig-zag	2	0	0
volgere	4	1	1
faggio	9	0	0
ansante	4	0	0
distendere	2	1	1
cangiare	1	0	0
sfumatura	1	1	0
impalpabile	3	0	0
piuma	5	1	1
sfera	1	1	1
soffioni	1	0	0
isolato	3	0	1
irraggiungibile	3	0	0
pigne	2	0	0
oblunghe	1	0	0
rampichini	1	0	0
marrone	2	1	1
picchiettare	1	0	0
ago	4	1	1
posizione	4	1	1
becco	2	1	0
bruchi	2	0	0
pinoli	4	0	0
elemento	2	1	1
difficilmente	2	0	1
possedibile	1	0	0
malsoddisfatto	1	0	0
penetrazione	1	0	0
scagliare	3	1	0
cacciatore	12	1	1
vivo	7	1	1
fucile	31	1	1
accanendosi	1	0	0
esplorazione	2	0	0
impraticabile	1	0	0
colpo	23	1	1
problema	6	1	1
fissare	6	1	1
scostare	5	1	0
sospiro	6	1	1
sollievo	3	1	1
timore	2	1	1
nitido	1	0	0
tremante	2	0	0
spaventoso	2	1	1
soriano	2	0	0
baffo	5	1	1
aculei	1	0	0
istrice	2	0	0
soffio	3	1	0
doppio	3	1	1
affilare	1	0	0
uncino	2	0	0
aguzzi	1	0	0
tensione	4	1	1
guernite	1	0	0
falsamente	1	0	0
tenue	1	0	0
peluria	1	0	0
gonfiare	5	1	1
rattratto	2	0	0
dipartire	1	0	0
fremere	1	0	0
fianco	4	1	1
posa	1	0	1
innaturale	1	0	0
insostenibile	1	0	0
esagerare	1	1	1
mascherare	4	0	1
lancinante	2	0	0
unghielli	2	0	0
pronto	16	1	1
iridare	1	0	0
gialla	1	0	0
ruotare	1	1	1
pupilla	1	1	0
bofonchiare	1	0	0
cupo	5	1	1
intenso	2	1	1
tacere	5	1	1
cinguettio	1	0	1
Saltò	1	0	0
verticale	1	1	1
spavento	1	1	0
felino	2	1	1
teso	7	0	1
inarcare	1	0	0
dorso	1	1	1
fff	3	0	0
perfetto	3	1	1
ragionare	4	1	1
Fff	1	0	0
Sotto	1	0	0
preferibile	1	0	0
piuttosto	1	1	1
emettere	2	1	1
straziante	1	0	0
gnaulìo	1	0	0
scontrare	3	1	1
salvo	4	1	1
arruffìo	1	0	0
scemo	1	1	1
facilmente	2	0	1
artigliare	1	0	0
guancia	4	1	1
serrare	2	0	0
riverso	3	0	0
sbalestrare	2	0	0
vittoria	4	1	1
avventare	3	0	0
a-fondo	2	0	0
infilare	3	0	1
gnaulante	1	0	0
lordo	2	0	0
stecchito	3	0	0
spiedo	5	1	1
triplice	1	0	0
unghiata	1	0	0
dolore	10	1	1
cadavere	2	1	1
strazio	1	1	0
impegnare	3	1	1
scampo	2	1	1
fallire	1	1	1
insanguinare	2	0	0
disfare	2	1	0
sformare	1	0	0
corso	5	1	1
terrazzo	1	1	1
ferire	8	1	1
Was	1	0	0
pertinente	1	0	0
definizione	1	1	1
colcannocchiale	1	0	0
Das	1	0	0
stimmt	1	0	0
garza	1	1	1
cerotto	2	1	1
balsamo	1	0	1
rifornire	1	0	0
ambulanza	1	1	1
battaglione	2	0	0
portassi	1	0	0
dovendosi	1	0	0
medicare	3	0	1
pacco	4	1	1
benda	4	1	1
trionfante	2	0	0
uccidere	6	1	1
spiazzo	3	1	1
bagaglio	5	1	1
severo	3	1	1
Marchesa	30	0	0
sanguinante	1	0	0
pazzo	1	1	1
moto	3	1	1
raccapriccio	2	0	0
nouveau	1	0	0
ici	4	0	0
Et	2	0	0
arrangé	1	0	0
facon	1	0	0
parente	4	1	1
scandire	2	0	1
collegio	1	1	1
degnare	1	1	0
sportello	2	1	1
serpere	1	0	0
partenza	4	1	1
dedicare	5	1	1
cruento	1	0	0
frusto	1	0	0
schiocco	3	0	0
sventolio	1	0	0
addio	4	1	1
graffio	2	1	1
gloria	8	1	1
disperazione	2	1	1
separazione	2	1	1
ingorgare	1	0	0
dirompere	1	0	0
pianto	3	1	1
urlo	4	1	1
stridere	2	0	0
rametto	4	0	0
strappato	1	0	0
Hors	3	0	0
Polisson	1	0	0
sauvage	2	0	0
notre	2	0	0
jardin	1	0	0
inveire	2	0	0
accorrere	5	1	1
faccia	11	1	1
singhiozzare	1	0	0
raccattare	2	1	0
letamaio	2	0	0
partita	3	1	1
collegare	4	1	1
lenza	3	1	1
ripescare	1	1	0
ulivo	6	0	0
morto	4	1	1
scuoiare	1	0	0
conciare	2	1	0
berretto	15	1	1
tentativo	3	1	1
iniziativa	3	1	1
naturalmente	2	0	1
consultare	2	1	1
nottetempo	2	0	0
caldaia	1	0	0
vischio	4	0	0
appiccicare	2	1	1
cardellini	2	0	0
scriccioli	2	0	0
avviluppare	1	0	0
farfalla	8	1	1
falda	1	0	0
probabilmente	3	0	1
laidamente	1	0	0
imbrattare	2	0	0
seccare	1	1	1
convincere	5	1	1
temere	7	1	1
dignità	1	1	1
ducale	4	0	0
compromettere	1	1	1
pallido	5	1	1
scavare	5	1	1
volto	5	1	1
conseguenza	4	1	1
dinastico	2	0	0
erede	5	1	1
francolino	1	0	0
fanciullo	1	1	1
controverso	1	0	0
inutile	3	1	1
intendere	8	1	1
velleità	1	0	0
Ombrosotti	14	0	0
ameno	1	0	0
privato	4	1	1
cittadino	16	1	1
ducato	2	0	0
tributario	1	0	0
Repubblica	5	0	0
Genova	7	0	0
comprare	2	1	1
Comune	1	0	0
debito	2	1	1
nobiliare	1	0	0
visita	7	1	1
costare	2	1	1
vantaggio	5	1	1
Corte	2	0	0
impiccio	1	0	0
impegno	1	1	1
spesa	4	1	1
capitale	4	1	1
politica	4	1	1
sovrano	1	1	1
spodestare	1	0	0
vicinato	2	0	0
straniero	4	1	1
frequentare	7	1	1
risparmiare	1	1	1
penuria	1	0	0
finanza	1	1	1
popolo	8	1	1
gretto	1	0	0
negozio	2	1	1
vendere	3	1	1
li4	1	0	0
moni	1	0	0
usanza	4	1	0
limonata	1	0	1
zuccherato	1	0	0
diffondere	2	1	1
classe	2	1	1
ricco	5	1	1
limone	3	1	1
riattare	3	0	0
incursione	1	0	0
pirata	32	1	1
repubblica	7	1	1
possesso	5	1	1
Sardegna	1	0	0
Regno	1	0	0
vescovile	2	0	0
trafficare	3	0	0
tributo	2	0	0
sudare	1	1	1
data	1	1	1
esazione	1	0	0
tumulto	2	0	0
esattore	5	0	0
gragnuola	2	0	0
marcio	1	0	1
tessere	1	0	0
congiura	3	1	1
gesuita	13	0	0
mortale	1	1	1
tramare	1	0	0
screzio	1	0	0
conteso	1	0	0
Gesù	2	0	0
sorgere	3	1	1
Padre	9	0	0
provinciale	1	1	1
Diocesi	1	0	0
agente	1	1	1
attentare	1	1	1
milizia	3	0	0
fedele	2	1	1
Vescovo	1	0	0
prigioniero	4	1	1
asilo	1	1	1
protezione	1	1	1
perseguitare	1	0	0
spirituale	2	1	1
fidare	3	0	0
debole	2	1	1
disgraziato	2	1	0
considerare	6	1	1
cinquantenne	1	0	0
traverso	1	1	0
fìngevano	1	0	0
rispetto	3	1	1
soffrire	9	1	1
apparenza	2	1	1
sottomettere	3	1	0
odiare	1	1	1
sordomuto	1	0	0
Turchi	2	0	0
intelletto	1	1	0
calcolo	3	1	1
capace	4	1	1
lode	1	1	0
esagerato	2	0	1
passato	9	1	1
gioventù	5	1	1
nonno	2	1	1
affezionare	2	1	0
attribuire	3	1	1
Turchia	3	0	0
soggiornare	2	0	0
barbaresco	4	0	0
Tunisi	2	0	0
Algeri	2	0	0
maomettano	2	0	0
Tante	2	0	0
importante	3	1	1
dignitario	2	0	0
Sultano	2	0	0
Idraulico	1	0	0
Divano	1	0	0
palazzo	8	1	1
disgrazia	2	1	1
remare	5	1	1
galera	2	1	1
ottomano	2	0	0
prigioniera	1	0	0
Veneziani	1	0	0
Venezia	2	0	0
accattone	2	1	1
rissa	1	1	1
rissare	1	0	0
schivo	2	0	0
ceppo	1	0	0
riscattare	2	1	1
tramite	2	0	1
ufficio	3	1	1
ricapitò	1	0	0
omino	3	0	0
calvo	2	1	0
barba	12	1	1
mutolo	1	0	0
scena	4	1	1
imprimere	2	1	0
infagottare	2	0	0
panno	4	1	1
suoi	2	0	0
autorità	6	1	1
destinare	2	1	1
studio	13	1	1
riempiere	5	0	0
disordine	1	1	1
gabinetto	1	1	0
borghese	1	1	1
foggia	1	0	0
tollerare	2	1	1
compito	3	0	1
castaldi	2	0	0
manenti	1	0	0
timido	3	1	1
favellare	1	0	0
cura	4	1	1
affare	6	1	1
disegno	4	1	1
impianto	1	1	1
irrigazione	1	1	0
cifra	1	1	1
lavagna	1	1	1
scrittura	1	1	1
sosta	3	1	1
adirare	2	0	0
accenti	2	0	0
ondoso	1	0	0
diverbio	1	0	0
passetto	1	0	0
cocuzzolo	3	0	0
porta-finestra	1	0	0
fratellastro	4	0	0
procedere	5	1	1
ostinare	1	1	0
allargare	8	1	1
ingobbire	1	0	0
pugno	6	1	1
sfida	2	1	1
mira	3	0	0
destrezza	1	0	0
saggiare	1	0	0
sfidare	1	1	1
piastrella	2	0	0
spoglio	1	0	1
curvo	1	1	1
mantello	7	1	1
disperso	1	0	0
soglia	3	1	1
cavalcare	2	1	1
spogli	2	0	0
obbedienza	1	0	0
logico	1	1	1
sensato	1	0	0
spettacolo	1	1	1
amaramente	1	0	0
degno	4	1	1
gentiluomo	3	1	0
rimprovero	1	1	1
lontananza	4	1	1
distacco	2	1	1
comportare	2	1	1
sentenza	2	0	1
gravemente	2	0	0
quantunque	1	0	0
fittavolo	2	0	0
castagna	5	1	1
alterare	2	1	1
cinico	1	1	1
mesto	1	0	0
comunella	1	0	0
bastardo	2	1	1
pacato	1	0	0
duole	1	0	0
devozione	1	0	0
Intendete	1	0	0
selvaggio	2	1	1
insegnamento	1	0	1
risposta	7	1	1
abile	1	1	1
sminuire	2	0	0
portata	4	1	1
debolezza	2	1	1
dunque	26	1	1
stringente	1	0	0
ritorno	5	1	1
massimo	4	1	1
latina	1	0	0
solenne	1	1	1
pisciare	2	0	0
netto	4	1	1
gridio	1	0	0
scarto	1	0	0
redine	2	0	0
indicare	11	1	1
rapidamente	4	0	1
Attento	1	0	0
spronare	3	0	0
pioggia	8	1	1
atteso	1	0	0
rada	4	0	0
goccia	2	1	1
Ciêuve	2	0	0
alga	2	1	1
pe	1	0	0
êuve	1	0	0
abbrancare	1	0	0
grondare	2	0	0
doccia	1	1	1
piovere	7	1	1
zuppo	2	0	0
acquate	1	0	0
temporale	1	1	1
inconveniente	2	1	0
fangoso	1	0	1
immune	2	0	0
riparare	5	1	1
attendamenti	1	0	0
Avrà	1	0	0
ombrello	7	1	0
osservazione	1	1	1
campale	1	0	0
ributtare	3	0	0
Ja	1	0	0
ganz	1	0	0
gewiss	1	0	0
bottiglia	3	1	1
sciroppo	3	1	1
calza	3	1	1
lana	3	1	1
incerare	1	0	0
trasudare	1	0	0
umidità	2	0	0
paracqua	2	0	0
scivoloso	1	0	0
pozzanghera	1	0	1
inclinare	3	0	0
lavare	11	1	1
demanio	2	0	0
ingrossare	3	0	0
rifugio	7	1	1
avvoltolata	1	0	0
chiarore	3	0	0
Cosimooo	1	0	0
Biagiooo	1	0	0
bagno	4	1	1
imbacuccare	1	0	0
sin	2	0	0
salice	1	1	1
attraverso	6	1	1
intrico	1	0	0
ramificazione	1	0	0
impossibile	2	1	1
lanterna	11	1	1
tappeto	2	1	1
piancito	1	0	0
asso	1	1	0
poggiare	1	0	1
reggia	1	0	0
accorgersi	2	1	1
quant'	2	0	0
instabile	2	0	0
falla	1	0	0
cedimento	1	0	0
coprire	2	1	1
colare	2	1	1
bagnati	1	0	0
ammassare	1	1	1
quantità	3	1	1
coperta	2	1	1
seppellire	3	1	1
incerto	7	1	1
guizzare	2	0	0
costruzione	1	1	1
intricato	2	0	0
bere	5	1	1
Puah	2	0	0
provvisorio	2	1	1
affrettare	5	0	0
venirci	1	0	0
qualcun	2	0	0
Dev'	1	0	0
stuoia	2	1	1
accavallare	2	1	1
coricare	2	1	1
fidanzare	5	1	0
indomani	6	1	0
semplicemente	2	0	1
bruscamente	2	0	0
mosca	1	1	1
Abbé	4	0	0
tradurre	2	1	1
Virgilio	1	0	0
imbarazzo	1	1	1
facilitare	1	1	1
latino	5	1	1
sgabelletto	1	0	0
coro	3	1	1
esametri	1	0	0
perdetti	1	0	0
esili	1	0	0
issare	3	0	0
aiutare	9	1	1
compitare	2	0	0
chini	1	0	0
allievo	3	1	1
allocchito	1	0	0
prete	5	1	1
Au	2	0	0
secours	2	0	0
calmare	1	1	1
discendere	3	1	1
accostare	2	1	1
zappare	2	1	0
letame	1	0	0
cortese	2	1	0
cucù	1	0	0
varcare	2	0	0
raccapezzare	3	0	0
salutare	7	1	1
cavare	9	1	1
vociare	2	0	0
abitudine	8	1	1
apprezzare	3	1	1
brutto	12	1	1
ingrassare	1	1	1
semina	1	1	0
ritrosia	1	0	0
villico	1	0	0
solco	1	1	1
storto	1	1	1
pomodoro	1	1	1
commissione	2	1	1
moglie	5	1	1
falciatore	1	0	0
cote	1	0	0
fiducia	1	1	1
frumento	1	1	1
passeri	3	0	0
strepito	1	0	0
raro	4	1	1
girovago	2	0	0
accampare	2	1	0
carbonai	12	0	0
calderai	3	0	0
vetrai	1	0	0
buscare	1	0	0
mestiere	6	1	1
piazzare	1	1	1
laboratorio	2	1	1
capannucce	1	0	0
Dapprincipio	2	0	0
giovinetto	1	0	0
spirito	3	1	1
folletto	1	0	0
narrare	5	1	1
cenerina	1	0	0
numeroso	1	1	1
Hura	3	0	0
Hota	4	0	0
bergamasco	2	0	0
corporazione	2	0	0
legame	1	1	1
gruppo	1	1	1
notizia	17	1	1
incaricare	1	1	1
M'	1	0	0
Rovere	1	0	0
Rossa	1	0	0
Hanfa	1	0	0
Hapa	1	0	0
Hoc	1	0	0
Rispondigli	1	0	0
Hegn	1	0	0
Hobet	1	0	0
Ho	1	0	0
Hot	1	0	0
aspirare	3	1	1
zirlare	3	0	0
Conti	2	0	0
Estomac	6	0	0
diretti	1	0	0
baia	2	0	0
Tolone	1	0	0
interesse	9	1	1
rivendicare	1	1	1
confermare	2	1	1
curia	1	0	0
assenso	2	0	0
figurare	5	1	1
progetto	10	1	1
salamelecchi	1	0	0
zerbinotto	1	0	0
cacastecchi	1	0	0
imparruccare	2	0	0
Poverina	1	0	0
pio	2	1	0
scema	1	0	0
gale	3	0	0
guanto	3	1	1
Bisognava	2	0	0
giovanotto	5	1	0
garzone	1	1	0
villano	1	0	0
Contino	5	0	0
inchini	1	0	0
risatina	1	0	0
isterico	1	1	0
croce	2	1	1
cervello	1	1	1
Conte	15	0	0
mostra	1	1	1
maschio	2	1	1
Monsieur	6	0	0
maggiore	1	1	0
combinazione	1	1	1
mentito	1	0	0
tordo	8	1	1
trascurare	1	1	1
selvaggina	6	1	1
privo	1	1	1
pazienza	2	1	1
circostante	2	0	0
interloquire	3	0	0
vietare	1	1	1
piccino	1	1	1
abbattere	3	1	1
gliele	1	0	0
interrompere	6	1	1
conversazione	4	1	1
estate	8	1	1
pel	8	0	0
tracollare	6	0	0
ehi	1	0	0
divertire	3	1	1
direzione	9	1	1
assicurare	5	1	1
arsenale	2	1	0
eh	15	0	0
sforzo	2	1	1
malafede	1	0	0
inchino	4	0	0
Riverisco	1	0	0
scimunito	1	0	0
original	2	0	0
ça	2	0	0
très	2	0	0
pulire	2	1	1
ungere	2	1	0
grasso	1	1	1
flanella	1	1	0
Principessa	1	0	0
schiattare	1	0	0
trafelato	4	0	0
singhiozzo	5	1	0
impensierire	1	0	0
spiacevole	1	1	0
lucertola	4	1	1
riscappò	1	0	0
serata	3	1	1
dissimile	2	0	0
partecipare	2	1	1
straforo	1	0	0
Europa	7	0	0
Vergogna	1	0	0
immotivato	2	0	0
tant'	2	0	0
favorevole	3	1	1
xGli	1	0	0
comoda	1	0	0
piana	2	1	0
paziente	1	1	1
fermarcisi	1	0	0
varietà	1	1	1
padiglione	12	0	0
nervatura	1	0	0
frutto	7	1	1
lattice	1	0	0
gemere	3	0	0
peduncoli	2	0	0
impregnare	2	0	0
umore	1	1	1
gommoso	1	0	0
ronzio	3	1	1
calabrone	1	1	1
sorbo	1	0	0
mora	1	0	1
peccato	4	1	1
noci	4	0	0
sterminato	2	0	0
innumerevole	2	1	0
certezza	2	1	1
persino	1	1	1
ondulate	1	0	0
elci	1	0	0
trattare	5	1	1
suggestione	2	0	0
ricercato	1	0	0
amare	22	1	1
screpolare	1	0	1
sovrappensiero	2	0	0
quadrelli	1	0	0
fatica	2	1	1
rifare	1	1	1
desquamava	1	0	0
strato	1	1	1
muffire	1	0	0
bugnare	1	0	0
bitorzoli	1	0	0
ricacciare	2	0	0
getto	2	0	0
ciuffì	1	0	0
cartaceo	1	0	1
samare	1	0	0
muovercisi	1	0	0
esile	2	1	0
varco	3	0	0
preferire	10	1	1
impalcare	1	0	0
spazio	2	1	1
appiglio	3	1	1
spinoso	3	0	0
riccio	5	1	1
par	2	0	0
distinzione	1	1	1
ricurvo	2	0	0
ruga	1	1	1
irruvidire	1	0	0
scorze	2	0	0
variare	2	0	1
seconda	1	0	1
velario	1	0	0
tremanti	1	0	0
scuotersi	1	0	0
vela	9	1	1
incurvare	1	0	0
appiattiva	1	0	0
sproporzionato	1	0	0
stipare	2	0	0
cellula	1	1	1
interno	2	1	1
chiazza	1	0	1
tramontare	1	1	1
brivido	1	1	1
ricantucciano	1	0	0
bruco	2	0	1
schiudere	2	0	0
uovo	2	1	1
comporre	4	1	1
cavo	3	1	1
pulviscolo	1	0	0
gracchiare	2	0	0
squittio	1	0	0
zampettio	1	0	0
cicala	1	1	0
sceverare	1	0	0
bioccolo	1	0	0
stame	1	0	0
rivelare	7	1	1
rana	3	1	1
gracidio	1	0	0
sfondo	2	0	1
mutare	2	1	1
flusso	1	0	1
ammicco	1	0	0
scorrere	1	1	1
profondo	4	1	1
murmure	1	0	0
inverno	11	1	1
giubbotto	2	1	1
pelliccia	2	1	0
cucire	1	1	1
volpe	14	1	0
martore	1	0	0
furetto	1	0	0
capra	3	1	1
cuoio	2	1	0
pantofola	1	1	1
paio	5	1	1
tasso	2	0	1
mite	3	1	0
stanare	4	1	0
Russia	3	0	0
sistema	10	1	1
otre	4	0	0
capanna	3	1	1
insolito	2	1	1
traversare	2	0	0
sgranare	3	0	0
Dicevano	1	0	0
luminoso	2	1	1
gufo	3	1	1
ghiandaia	1	0	0
stirare	3	1	1
sbadigliare	2	1	1
busto	3	1	1
fiaschetta	1	0	0
arcuare	2	0	0
storta	1	1	1
sgranchire	1	0	0
scrollare	5	0	0
grattare	3	1	1
sveglio	2	1	1
incominciare	5	1	1
fontana	3	1	1
pensile	5	0	0
inventare	8	1	1
natura	13	1	1
rivo	1	0	0
strapiombo	2	0	0
pioppo	2	1	1
grondaia	1	1	0
sapone	6	1	1
ticchio	1	0	0
bucato	1	1	1
tinozza	1	0	0
pigna	3	1	1
acciarino	2	0	0
predisporre	2	1	1
focolare	2	0	0
fascina	2	1	0
paletta	1	0	1
molla	1	1	1
richiedere	2	1	1
provocare	4	1	1
incendio	21	1	1
cambio	3	1	1
ortaggio	1	1	1
campare	2	1	1
latta	1	1	1
palmo	3	1	0
secchio	3	1	1
mungere	1	1	1
padovano	1	0	0
averci	2	0	0
comprendere	9	1	1
Merdanzo	3	0	0
ontano	3	0	0
propizio	1	0	0
appartare	2	0	0
comodamente	1	0	0
viciniori	1	0	0
scolare	1	0	0
civilmente	2	0	0
rispettare	2	1	1
decoro	2	0	0
prossimo	4	1	1
necessario	4	1	1
complemento	1	0	0
fratto	1	0	0
cespuglio	6	1	1
beccaccino	1	0	0
quaglia	1	1	1
incon7	1	0	0
trando	1	0	0
sparo	4	1	1
brughi	3	0	0
In	1	0	0
impronta	2	1	1
recuperare	2	1	1
rigogolo	1	0	0
arnese	5	1	0
pesca	3	0	1
spago	4	1	1
beccaccia	2	0	0
formica	1	1	0
roveto	1	0	0
finora	3	1	1
riporto	2	0	0
mattina	2	1	1
nottata	1	0	0
attendere	13	1	1
vetta	5	1	0
pista	2	1	1
latrato	2	0	0
segugio	9	0	0
casuale	2	1	1
rispettoso	3	0	0
norma	2	1	1
infallibile	2	0	0
altrui	6	0	1
Uauauaaa	1	0	0
odore	3	1	1
narice	2	0	0
svoltare	2	0	0
uggiolio	1	0	0
Uì	1	0	0
uì	1	0	0
fendere	1	0	0
pesce	5	1	1
delfino	1	1	1
nuotare	2	1	1
aguzzo	2	0	1
sguazzare	1	0	0
pinna	1	1	1
palmipede	1	0	0
bassotto	32	0	0
certamente	5	0	1
unire	5	1	1
Buaf	1	0	0
compatto	2	1	1
rete	1	1	1
nasale	1	0	1
radura	3	0	0
gerbida	1	0	0
impazienza	1	1	0
approfittare	3	1	1
pisciatina	1	0	0
trotto	2	0	0
ingiustificatamente	2	0	0
trionfale	2	0	0
uggiolii	1	0	0
furbizia	1	0	0
Uài	2	0	0
Aurrrch	1	0	0
ringhiare	1	1	1
odor	3	0	0
Ggghrr	1	0	0
disinteressarsene	1	0	0
scodinzolare	6	0	1
sbandato	1	0	0
rotto	2	1	1
sospingere	1	0	0
annusare	2	1	1
sfascìo	1	0	0
Auauauaaa	1	0	0
Iaì	2	0	0
iaì	4	0	0
sfinire	1	0	1
greve	2	0	0
archibugio	1	0	0
insistè	2	0	0
santo	1	1	1
Ottimo	8	0	0
Massimo	39	0	0
giovanile	3	0	1
rasente	1	0	0
fosso	1	1	1
cammino	3	1	1
inconsueto	1	0	0
persiana	2	1	1
sprangate	1	0	0
invasi	1	0	0
sterpose	1	0	0
trasloco	2	1	1
incidere	1	1	1
scrivere	23	1	1
Cane	2	0	0
innanzi	1	1	0
appresso	2	1	0
starna	1	0	0
carezza	2	1	0
festa	14	1	1
dialogo	4	1	1
intelligenza	1	1	1
monosillabo	1	0	0
adolescenza	1	1	1
anguilla	1	1	0
trota	1	1	1
stagno	1	1	1
vestiario	1	0	0
corrispondere	3	1	1
mutamento	3	1	1
totale	1	1	1
contatto	1	1	1
affisato	1	0	0
penna	6	1	1
gamma	1	0	0
corrente	5	1	1
vena	2	1	1
forma	9	1	1
fusto	3	1	0
branchia	1	0	0
profondamente	1	0	1
modellare	1	1	1
sembianza	2	0	0
assorbire	1	1	1
comunanza	1	0	0
lotta	3	1	1
rado	2	1	1
seguirci	1	0	0
Messa	2	0	0
domenica	2	1	1
indrappellata	1	0	0
cerimonia	1	1	1
riesumare	1	0	0
avviare	5	1	1
incedere	2	0	0
sagrato	1	0	0
diminuire	2	1	1
compassato	1	0	0
cattedrale	1	0	1
banco	3	1	1
appostare	6	0	0
navata	1	0	0
vetrata	3	0	0
frammezzare	1	0	0
chino	1	0	0
sagrestano	1	1	1
primavera	6	1	1
nobiltà	5	0	0
ballare	2	1	1
ebbene	6	1	1
festevolezza	1	0	0
struggimento	1	0	0
assente	1	1	1
piroetta	1	0	0
irriconoscibile	1	1	1
monacale	2	0	0
marzapane	1	0	0
grand	1	0	0
panier	1	0	0
corallo	1	1	1
sarta	1	1	0
scommettere	1	1	1
almeno	5	1	1
breve	7	1	1
membro	5	1	1
essa	3	0	1
svanito	1	0	0
sfuggente	1	0	0
numero	5	1	1
occupazione	2	1	1
sciabattanti	1	0	0
crepa	1	0	0
ricorrere	2	1	1
paraggio	3	0	0
ape	25	0	1
rintracciare	1	1	1
fiorita	1	0	0
sparso	3	0	1
ronzare	1	1	1
secondario	3	1	1
invisibile	1	1	1
aereo	4	1	1
andirivieni	2	0	0
arnia	8	0	0
intento	1	0	1
esse	2	0	1
brulichio	3	0	0
apicoltura	4	0	0
attività	3	1	1
favo	1	0	0
stillante	1	0	0
svolgere	5	1	1
ambito	1	0	1
evidentemente	1	0	1
cautela	2	0	0
sottrarre	1	1	1
provento	1	0	0
industria	1	1	1
paiolo	4	0	0
amministrazione	3	1	1
poiché	3	1	1
avaro	1	1	1
cera	2	1	0
mescolare	4	1	1
permettere	11	1	1
imbattere	2	0	0
assurdo	2	1	1
ficcare	1	1	1
aquila	2	1	1
adombrare	2	0	0
conficcare	1	1	1
pungiglione	1	0	0
cranio	2	1	1
premere	1	1	1
pezzuole	1	0	0
bagnate	1	0	0
aceto	1	1	1
siffatto	2	0	0
graffietto	1	0	0
foruncolino	1	0	0
sminuzzare	1	0	0
allevamento	2	1	0
alveare	4	1	1
compenso	1	1	1
zampettare	1	0	0
talvolta	7	1	1
calzare	2	1	1
turbante	7	0	0
spandere	1	1	0
insetto	2	1	1
suscitare	3	1	1
cancellare	2	1	1
rinascere	1	1	1
mago	1	1	1
succhiare	1	1	1
polpastrello	1	1	1
impazzire	1	1	1
vibrare	1	1	1
boato	2	0	0
grandine	2	1	1
orizzontale	1	1	1
colonna	3	1	1
moltitudine	1	0	0
struggente	1	0	0
sciamano	1	0	0
fungo	6	1	1
sciame	5	1	1
regina	2	1	1
padella	2	1	1
deng	2	0	0
rintronare	1	0	0
timpano	1	0	0
vibrazione	1	0	0
fastidioso	2	1	1
turare	1	0	0
Percuotendo	1	0	0
rame	1	1	1
clangore	1	0	0
scuotimento	1	0	0
menare	3	0	1
arrivo	4	1	1
melograno	4	1	1
dapprincipio	2	0	0
scorso	2	0	1
grappolo	10	0	0
zampette	1	0	0
cartilagine	1	0	0
frusciare	2	0	0
diafano	1	0	0
grigio	1	1	1
addomi	1	0	0
saltellare	2	0	1
scossa	2	1	1
migliaio	1	1	1
tappare	2	1	1
intesa	2	1	1
collaborazione	1	1	1
termine	4	1	1
eccessivo	1	1	1
socievole	1	0	1
pozzo	4	1	1
canale	6	1	1
escogitare	1	0	0
ligustro	2	0	0
spiare	3	1	1
conduttura	3	1	1
riporre	5	1	0
sua	1	0	0
euforia	1	0	0
sbucare	2	1	0
balzo	7	0	0
spruzzare	1	1	1
imboccare	1	1	0
precipizio	1	0	0
ordinario	1	1	1
dialetto	4	1	1
modestia	1	1	1
ignoranza	1	1	1
direttamente	1	0	1
accorgersene	2	0	0
acquedotto	2	1	0
sostenuto	1	0	0
gerbido	1	0	0
