Lemmato	Occorrenze
stalliere	1
gridare	63
servi	9
accorgere	27
calzone	4
brandello	4
lacerare	1
artiglio	1
tigre	1
attentato	2
onore	9
consentire	3
matrimonio	1
sepolto	1
abito	2
pur	37
senza	88
pronunciare	5
voto	2
neppure	11
terziario	1
dubbio	5
tristo	2
esplicare	2
soprattutto	11
cucina	4
cucinare	1
mancare	15
né	47
diligenza	2
fantasia	4
dote	3
cuoca	2
sorprendere	3
crostini	1
paté	1
preparare	19
fìnissimi	1
fegato	2
quando	148
buono	25
zampa	8
cavalletta	1
quelle	34
duro	6
seghettare	4
mes-se	1
mosaico	1
torta	6
codino	5
porco	2
arrostire	2
ciambella	1
cuocere	2
porcospino	5
spina	4
chissà	17
impressione	6
sollevare	23
coprivivande	1
neanche	16
razza	3
roba	11
ancorché	2
cucciolo	3
rosa	7
tenero	9
infatti	8
orrendo	1
studiare	11
figura	5
gustare	2
cibo	5
sapore	4
raccapricciante	1
opera	10
oraferia	1
animale	8
vegetale	2
cavolfiore	1
lepre	11
colletto	2
cacciare	26
un'	92
aragosta	2
rosso	24
pinza	2
maiale	2
glie	11
strappare	17
decapitare	2
cavalluccio	1
molle	3
infiggere	1
steccare	4
ognuna	1
bignè	1
stormo	2
piccolo	26
cigno	1
ancora	95
vista	23
manicaretto	1
zelante	2
vi	56
sottile	4
smembrare	1
corpicino	1
eccitare	1
macabro	1
spingere	15
solidarietà	3
povero	11
bestia	14
straziato	1
disgusto	2
cotto	2
insofferenza	1
stupire	5
maturare	2
gesto	13
architettare	1
canestro	5
mangereccio	1
queste	6
messa	3
cantina	9
barile	7
digiuno	1
crusca	2
purgare	1
spostare	10
copertura	1
apparire	21
inferno	1
doghe	1
lentezza	1
agonia	1
rimasuglio	2
strie	2
opaco	3
bava	2
aggrumare	2
lumacheschi	1
escremento	1
colorato	1
memoria	6
bel	9
aria	47
erba	12
guscio	2
protendere	12
corno	15
divaricare	2
rattrappire	2
sporgere	13
diffidente	2
antenna	1
altre	7
crocchio	4
comare	2
addormentato	1
chiuso	11
morte	10
chiocciola	1
riversare	1
salvare	11
dall'	59
incontro	8
sinistra	2
imbandigioni	1
praticare	4
foro	1
tracciare	4
filo	9
tritare	1
miele	6
possibile	8
nascondere	26
botte	2
attrezzo	2
attrarre	4
fuga	8
finestrella	3
aiola	4
incolto	2
sterposa	1
controllare	3
effetto	5
lume	5
candela	4
ispezionare	2
muro	24
andito	1
qui	45
qua	31
questa	6
fila	11
intervallo	2
percorrere	5
pavimento	1
traccia	5
Presto	3
lumachine	1
scappare	34
bestiola	1
lemme	2
deviare	5
giro	21
ozioso	1
ruvido	5
parete	2
occasionale	1
deposito	1
muffa	4
ingrommature	1
buia	1
ingombra	1
accidentato	1
sperare	14
anima	5
pace	8
notte	41
caccia	34
reggere	27
candeliere	4
schioppo	7
illuminare	6
sbandare	1
soffitto	4
scia	2
argenteo	3
risuonare	5
fucilata	1
letto	19
sobbalzare	2
subito	53
riaffondammo	1
guanciali	2
avvezzare	1
notturno	3
distruggere	2
pezzo	6
intonaco	1
schioppettata	1
irragionevole	2
vocetta	2
stridulo	1
Aiuto	3
aiuto	5
spogliare	7
armare	6
sciabola	4
avvocato	27
seccatura	2
dormire	15
pagliaio	1
chiaror	1
torcia	3
cuore	17
ormai	53
svegliare	14
amore	41
disturbare	2
buco	5
agguantare	1
frusta	2
cocchiere	4
ricoprire	7
striatura	3
violare	37
schiena	4
natica	1
chiudere	16
stanzino	2
squallido	1
prigione	4
tre	27
acqua	30
insalata	1
cotenne	1
bue	1
fortunatamente	1
puntare	17
sovrintendente	1
zuppa	1
toccare	22
Mangiate	1
rinchiudere	2
trangugiare	1
mollusco	1
po'	77
viltà	1
sì	63
cosicché	8
protesta	4
deludere	1
paragonare	1
forza	21
volontà	6
bambino	9
sovrumano	1
contrassegnare	1
E	14
voltare	30
spalla	19
vai	11
porta	10
vetro	1
vestibolo	1
tricorno	16
spadino	20
Corse	5
giardino	46
acconciare	4
proprietà	4
capello	9
incipriare	1
nastro	6
cravatta	2
marsina	7
verde	26
coda	20
calzonetti	1
color	5
malva	1
ghette	10
bianco	30
coscia	2
concessione	2
intonare	2
campagnolo	2
esentare	1
cipria	2
occasione	5
gala	1
nodoso	1
sicurezza	1
rapidità	1
pratica	2
motivo	6
utilitario	1
frutta	20
nido	7
uccello	26
superare	5
difficile	9
bugne	1
tronco	45
inforcature	1
alto	73
bello	41
fermare	33
laggiù	6
scherzo	5
voce	40
ingiusto	2
accanirsi	1
sull'	47
altezza	14
contegno	4
sdegnoso	1
offeso	3
Vorsicht	2
cascare	8
poverino	3
esclamare	9
ansia	5
volentieri	5
carica	8
cannonata	1
