Lemmato	Occorrenze
interrogatorio	2
copia	3
malaffare	1
scartabellare	1
istruttorio	1
confessare	5
rattristare	1
deprimente	1
Fielding	1
vicenda	5
movimentare	1
ripagare	3
libertà	6
perduto	3
Jonathan	1
Wild	1
esecuzione	3
carretto	1
frate	2
vivente	2
impiccagione	1
cappio	2
condannato	1
dispiacere	4
dirtelo	1
Gionata	1
sia	4
calciare	1
strozzare	1
folla	3
cessare	1
dibattere	2
impiccato	2
corvo	1
smisurato	2
scuola	2
tavoletta	1
calamaio	1
oca	1
Tacito	1
Ovidio	2
celeste	1
legge	7
chimico	1
grammatica	1
teologia	2
annegare	2
lacuna	2
Persia	1
Vicario	1
Savoiardo	1
Alors	2
Voyons	1
Maintenant	1
libraio	4
Rousseau	4
erborizzando	1
Svizzera	1
Beniamino	1
Franklin	1
fulmine	2
Hontan	1
Indiani	1
meravigliare	1
dio	6
Dites-le	1
Tiens	1
èpatant	1
talora	3
Mon	1
esultanza	1
grandezza	1
rammarico	1
onnipotenza	1
illetterato	1
precettore	2
remissivo	1
accomodare	3
vanità	1
discepolanza	1
maestro	2
trascinare	5
peregrinazione	1
magra	1
riflettere	2
ninfee	1
monarchia	1
religione	3
rito	6
cinese	1
terremoto	2
Lisbona	1
Leida	1
sensismo	1
greco	1
scandagliare	1
peschiera	1
lamentare	3
lombaggine	1
scomodo	1
passivo	1
accettazione	1
alternare	1
ripresa	2
originario	1
rigore	1
arrendevole	1
resistenza	2
libertino	1
uguaglianza	2
onestà	1
influenza	4
nefasto	1
superstizione	2
assalire	3
accesso	1
austerità	1
assolutezza	1
immedesimare	1
leggermente	1
coerenza	1
morale	1
eguale	1
spietata	1
articolo	2
fede	3
fanatico	2
quadro	3
corruzione	1
filosofo	4
blando	2
denuncia	1
perfezione	1
arduo	1
compromesso	1
censurare	1
incoerente	1
lussureggiante	1
inaridire	1
marmoreo	2
cimitero	2
spossare	2
concetto	1
puro	2
essenza	1
balia	1
dissolto	1
sbadiglio	1
rientrare	1
nirvana	1
intraprendere	2
bottega	1
librare	1
Amsterdam	1
Parigi	12
pubblicazione	1
scomunicare	1
tribunale	1
ecclesiastico	1
celletta	1
Bayle	1
intonso	1
nuvoloso	1
coniugazione	1
aoristo	1
sgherro	2
avvelenare	1
carcere	2
convento	3
abiura	1
fermamente	1
arresto	1
progresso	1
educazione	2
corrispondenza	1
epistolare	1
scienziato	1
quesito	2
obiezione	2
esercitare	2
cavità	1
finito	2
rodere	5
ammuffite	1
sapiente	2
secolo	5
roditore	1
ingabbiare	1
intristire	1
massiccio	1
scaffali	1
allineare	1
Enciclopedia	4
Diderot	4
Alembert	1
Livorno	1
Abeille	1
Arbre	1
Bois	1
Jardin	1
riscoprire	1
manuale	2
arboricoltura	1
sperimentare	2
cognizione	1
spostamento	2
estro	1
uccelletto	1
frequentazione	1
indispensabile	1
potare	5
coltivatore	1
labirinto	1
desiderare	4
cristallino	1
avvoltolato	1
sciarpa	1
cesoia	1
zac	2
ornamento	1
sega	1
ascia	2
taglialegna	2
accozzare	1
secolare	1
sostituire	3
accetta	1
arboreo	3
spietato	2
doloroso	5
recidere	2
disboscare	1
ricevere	6
soppressione	1
benigno	1
contribuire	1
vieppiù	1
medesimo	1
saggio	1
operare	1
tardo	1
sopperire	1
perdita	4
avvento	1
scriteriato	1
imprevidente	1
avidità	1
conversione	1
successivo	2
caduta	1
frassino	15
Aperse	1
lambire	1
appiccare	1
razzia	2
ricadere	1
minacciare	4
propagandare	3
sottobosco	3
botticella	4
orzare	2
placare	1
seta	7
estivo	1
nottole	1
svitare	1
Bruci	1
ondeggianti	1
esterno	2
spegnendole	1
bagnato	2
arso	1
base	2
rogo	2
schianto	2
vano	1
squittire	3
limitare	2
fiammella	1
labile	1
barriera	1
fuocooo	2
èee	1
gridaaa	1
carbonaia	1
Bergamaschi	3
Allarmeee	1
incomprensibile	3
domare	2
doloso	2
ammonire	1
tutelare	1
annata	1
siccità	1
calura	1
ardere	1
bagliore	1
asciutto	1
sterpi	1
arsura	1
esca	1
ricongiungere	1
attonita	1
incendiario	1
cadente	2
firmamento	1
sbigottimento	1
incettare	1
barilotti	1
situare	1
regime	2
sorgente	1
Bacini	1
diga	1
saltello	1
miriade	1
appaltatore	1
demaniale	1
forzare	1
sovrintendere	1
riserva	1
pompa	2
organizzare	2
guardia	12
spegnitori	1
catena	2
turno	2
ispezione	1
reclutare	1
artigiano	1
associazione	5
emulazione	2
contentezza	3
attitudine	2
associare	3
abusare	1
risultato	1
conseguire	1
risalto	2
singolo	1
raramente	1
onesto	1
ciascuno	3
concordia	1
stima	1
val	1
sentinella	3
fiammeggiare	2
focolaio	1
predisposto	1
campanella	1
dolo	1
colpevole	1
agosto	2
acquazzone	1
apprezzamento	1
obiettivo	1
partito	2
reazione	2
sommario	2
costituzione	5
prender	3
Nostro	1
scuotere	3
annuire	1
lusinga	2
alberello	1
Buongiorno	2
compatibilmente	1
valente	1
adoperare	3
salvaguardia	1
nonna	1
Elisabetta	1
buonanima	4
località	1
Belrìo	1
trenta	1
ventidue	1
acero	2
proprietaria	1
consociare	1
conservare	1
favorevolmente	1
fornaio	1
ortolano	1
maniscalchi	1
professione	2
purché	2
oneste	1
vassallo	1
do	1
oggigiorno	1
ballo	1
sospirare	3
diciotto	1
piatta	1
signor	3
Cercherò	1
attributo	1
staffe	3
cingere	1
Addio	1
rifletté	2
parata	1
fodero	3
svagatezza	1
fìsso	1
ciarliero	1
insocievole	1
spalto	1
patrono	3
marinaio	3
battello	1
malefatta	1
feluca	5
molestare	1
traffico	1
pirateria	3
orecchi	1
Maomettani	1
tartana	1
baccalà	1
cacio	2
olandese	1
balla	2
cotone	1
alberature	1
Barbareschi	3
urlaccio	1
credito	3
Pascià	1
esigere	2
negoziante	3
armatore	2
fornitura	2
truffare	1
saldare	2
ruberia	1
trattativa	1
commerciale	2
contestazione	1
patteggiamento	1
sgarbo	2
definitivo	1
navigazione	1
rischio	1
degenerare	1
tragedia	2
versione	6
differente	3
illogico	1
mancanza	2
fonte	1
infervorare	1
sordo	3
mulattiere	1
scorciatoia	2
sassoso	1
spuma	1
coll'	2
deserto	5
emergere	1
imbarcazione	1
remo	4
barca	18
ondeggiante	1
lanterne	1
rigonfiare	1
luccicare	1
scimitarra	6
aguzzare	3
Berberi	2
parlottare	1
franco	1
frammischiare	1
nave	14
tartane	2
brigantini	1
appartenere	2
bordo	4
risparivano	1
agguato	2
incapace	2
marina	7
giuntura	1
rivelazione	2
compatire	1
imperdonabile	1
ingrato	1
raccogliere	5
relitto	1
errore	2
patrio	1
boccone	1
denunciare	1
mene	1
spione	2
inspiegabilmente	2
ammanettare	1
veglia	1
funebre	1
presente	3
arbitro	1
condanna	1
congiunto	1
tormentare	4
seguente	1
furiosamente	1
preda	2
intervento	3
pallottola	5
fucileria	2
audace	1
vigilare	1
ritentare	1
approccio	1
equipaggio	1
maomettani	2
pungere	2
terzo	9
incespicare	1
segnale	2
grilletto	1
parlamentare	1
scaricare	3
cassa	1
damigiana	2
barella	2
formaggio	2
portatore	1
snodare	1
corsetta	1
esitare	2
grotta	12
moro	3
merce	1
ricostruire	2
legittimo	2
intercorrere	1
assoggettare	1
perquisizione	1
doganale	1
mercanzia	3
depredare	1
ri4	1
estraneità	1
ladrerie	1
rinsaldare	1
normale	4
retroscena	1
chiaramente	1
soffermare	3
tesoro	2
impadronirsene	1
patire	2
esitazione	1
grigia	2
piazzola	1
rozza	1
frasca	2
sbuffìo	1
scatarrìo	1
imprechìo	1
alfine	1
esclamazione	2
argento	1
stoccafisso	3
pecorino	1
schioppi	4
accetto	2
spiedi	1
vanghe	1
recipiente	1
sfasciare	1
cesta	2
carbone	1
processione	1
sperone	3
rene	1
dirupo	2
riunione	6
scarico	3
attorniare	1
orda	1
tinti	1
fuliggine	1
Insciallah	1
Deng	2
Marocco	1
tuono	2
focaie	1
cilecca	1
svegli	1
stordire	3
sottrar	1
attutire	1
ginocchiate	1
ombelico	1
sassata	3
spirare	1
scialuppa	1
ingresso	1
maomettana	1
pietrate	1
navicella	2
sbrogliare	1
traversa	1
fendente	3
destra	3
atterrare	2
lampeggiare	1
donare	1
maomettane	1
affondare	3
parare	2
schermaglia	1
trafìsse	1
imboccatura	1
tramortire	1
vogare	1
fellonia	2
irrimediabilmente	1
patibolo	1
disarmato	1
violenza	2
equivalere	1
derogare	1
porselo	1
trasalimento	1
accucciare	2
piacevole	1
diversivo	1
piangere	5
Zaira	12
Allah	4
insciallah	1
lagrima	2
Cosa	3
supposizione	2
svelare	2
felicità	8
amante	10
oltremare	1
verosimilmente	1
moresco	1
capitare	4
schiava	1
scotto	1
riammettere	2
fra	3
imbarcare	1
smascherare	2
intrigo	1
smozzicare	1
supplica	3
disavventura	1
creatura	2
esploratore	2
franca	1
esaudire	1
giannizzeri	1
contraccolpo	1
scoperto	2
dettare	2
Mori	1
Marrano	1
ebete	1
accoglienza	2
responsabile	1
imboscare	1
accusare	2
rimontare	3
galleggiare	3
gavitello	2
fiocco	3
colla	1
Attaccatevi	1
collottola	4
addentare	2
—	1
mozzare	2
XVI	1
dapprima	3
assai	3
rapire	2
pietoso	1
gravare	1
sconforto	1
fittizio	1
astuto	1
sconfiggere	1
supplizio	1
contraddittorio	1
lacunoso	1
sbarco	2
risapere	3
popolazione	3
cotechini	1
caci	1
rimanente	1
banchetto	1
invecchiare	4
perdute	1
curare	5
accingere	1
sicumera	1
consiglio	3
irritare	1
sufficiente	2
sforzare	1
tardivo	1
faccenda	1
purtroppo	2
febbre	3
puntura	1
raffreddore	2
guarire	3
scoramento	1
attaccamento	1
assassinare	1
sbrigativo	1
autoritario	1
farneticare	2
mania	1
funerale	1
cipresso	1
seppellimento	1
bara	1
Curava	1
saltuario	1
riverire	2
connivenza	1
immediato	1
indignazione	1
confidare	3
commuovere	3
invenzione	3
approssimazione	1
veritiero	2
uditore	1
aggiunta	1
ampliamento	1
iperbole	1
introdurre	2
deformare	2
principio	4
Parecchi	1
sollecitazione	1
uditorio	1
plebeo	1
conforme	2
armonioso	1
visione	1
umanità	3
sfaccendati	3
cervo	11
Credevo	1
tenuta	3
trafìggere	1
acuminato	1
spini	2
picchiare	4
ve	5
finale	1
tribù	1
cinquanta	3
paltonieri	1
perso	3
cerve	1
femmina	3
roccia	1
eccomi	2
ingaggiare	1
cornate	1
cozzo	1
accadere	3
rievocare	1
tedio	1
vanaglorie	1
nausea	1
svariare	1
abbastanza	2
faine	2
inventate	1
insoddisfazione	3
ortolane	1
pescivendolo	1
occhiate	1
interamente	1
coppia	2
empire	1
ammirazione	1
pudore	1
nuziale	1
accoppiare	1
unito	1
abbraccio	2
corteggiare	3
cagna	2
pastore	3
cagne-lupe	1
spavaldo	1
ardimento	2
simpatia	2
Talora	2
malconcio	1
fortunato	2
sconfitta	1
esemplare	1
sogno	4
fanciulla	6
fantasticare	1
chiacchiera	1
soddisfare	1
mercato	1
Olivabassa	10
Spagnolo	1
Spagnoli	2
Oliva-bassa	1
XVII	1
pericolosamente	1
abitato	3
inosservato	1
boscaiolo	2
bifolco	1
raccoglitrice	1
oliva	4
alcuno	1
locale	1
Señor	6
Buenos	2
dias	2
spoglia	2
vestimenti	1
piumato	2
manto	1
seduta	3
laterale	1
comprensione	1
autorevole	2
obeso	3
incastrare	1
malato	1
raso	2
avanzato	1
macilento	1
allampanato	2
nerastro	1
Rondos	2
Aragonési	1
Gallego	1
Nossignore	3
Catalàn	1
Desterrado	1
también	1
intervenire	4
interprete	3
ampollosamente	1
Frederico	13
Alonso	4
San-chez	1
Guatamurra	1
y	6
Tobasco	1
vossignoria	3
esule	3
dappoiché	1
decreto	2
Viaja	1
usted	3
sobre	1
los	1
àrboles	1
por	1
compiacere	4
diletto	1
addire	1
Feliz	1
Sanchez	2
Ay	1
mì	2
ay	1
ampolloso	1
fortunata	1
codesto	2
esimere	1
costrizione	1
sopportare	1
rassegnato	1
laconico	1
Principe	4
circostanziare	1
nerovestito	2
spagnolo	9
ribellare	1
Carlos	2
III	2
privilegio	2
contrastare	2
esilio	5
interdetto	1
maestà	3
cattolico	3
ricettare	1
esiliare	2
situazione	2
diffìcile	2
magistrato	1
Oli-vabassa	1
cancelleria	1
viaggiatore	4
accomodamento	1
prescrivere	1
esuli	12
concedere	2
amnistia	1
provvidenza	1
divino	1
provvista	2
vivanda	1
commercio	1
installare	3
saliscendi	1
baldacchino	3
aggiustare	2
Olivabassi	2
attrezzare	1
tornaconto	1
Sacramos	1
todo	2
el	4
tiempo	1
Sulpicio	21
Guadalete	1
bando	2
Signore	1
ringraziare	3
algunas	1
veces	1
visco	1
Talvolta	1
Para	1
Hay	1
lavanderas	1
Don	26
indumento	2
lavandaia	1
lunedì	1
sporco	1
interpretare	2
quistioni	1
ciascheduno	1
venia	1
Ollas	1
orciuolini	1
Congedatosi	1
rispettivo	3
residenziale	1
hidalghi	5
ineliminabili	1
tanti	4
eliminare	2
formicolìo	1
Almirante	1
curiosare	1
pettegolezzo	4
signorina	1
agucchiare	1
operoso	1
gabbia	2
colombo	1
salotto	4
ospitale	1
Siviglia	1
Granada	6
possedimento	1
granaio	1
scuderia	1
reintegrare	1
accento	2
devoto	1
esattamente	1
regale	1
emanare	1
considerazione	4
Sovrano	2
aleggiare	1
aura	1
tristezza	6
lutto	3
determinazione	1
volontario	2
combattere	2
definire	2
convincimento	1
supplire	1
imponenza	1
giovinetta	1
peloso	4
serpeggiare	1
accenno	2
brio	1
tic	2
tac	2
olivabasso	1
peseta	1
El	10
Conde	14
dimettere	1
indurre	1
declivio	1
or	4
brullo	1
mormorare	1
detenere	1
Carlo	1
torturare	1
percome	1
inoltrare	3
distesa	2
ondulare	2
ahi	1
Cosi-mo	1
patria	2
pervinca	1
carnagione	1
profumato	1
inclinato	1
ritorto	1
Vedete	1
Sono	2
Irena	1
Raimunda	1
Ursula	16
patio	1
rampicante	1
appuntare	2
mandorlo	2
Aspettate	2
laccio	1
scarrucolare	1
Spaventata	1
baciare	4
sbalordire	2
sorpreso	4
inaspettatamente	1
bellezza	5
XVIII	1
gaiezza	1
funereo	1
vicinanza	2
parentado	1
compostezza	1
permanenza	1
dotare	1
serbatoio	1
autore	2
preferito	1
regolarmente	1
confessionale	1
grata	1
innovazione	1
tecnico	1
ossequio	1
vigere	2
rimandare	2
Paolo	1
Virginia	1
Eloisa	1
adunanza	2
parlamento	2
stilare	1
indignare	1
minaccia	1
ultimatum	1
formula	1
prosternare	1
umilmente	1
Graziose	1
Maestà	2
implorare	1
perdono	1
vibrato	1
risedere	1
accennare	5
comunità	3
ingenuo	1
fervore	1
torto	2
Sovrani	1
retto	1
ascolto	2
arrovellare	1
reagire	2
suola	1
ostico	1
Montesquieu	1
Pulzella	1
macinare	1
rivoluzione	2
gerarchia	1
aggiornato	1
veleno	1
riordinare	2
sigillo	2
incenerire	2
lamento	1
Accorse	1
Santa	2
Inquisizione	1
eresia	2
Guardia	2
Ordine	1
bilico	2
schermidore	1
eccellente	1
riavutosi	1
interporre	1
duellante	1
raccomandare	1
impensabile	1
conciliazione	1
pulce	6
educare	1
costume	1
titolare	1
Baron	4
niña	1
hablar	1
vuestro	1
idioma	2
diez	1
nueve	1
Jouen	1
Mia	1
Por	1
qué	1
diciassett'	1
casarte	1
castellano	1
hombre	1
novia	1
es	3
esto	1
Sierra	1
Mejor	1
aqui	1
volteriano	1
joven	3
Muchas	1
gracias	1
rivedere	5
Cosme	2
begli	1
previsto	1
grazioso	1
indulto	1
revocare	1
esiliato	1
Madrid	3
Cadiz	1
Sevilla	1
festeggiare	2
radunare	5
Cortes	1
Corona	1
vestito	2
guardaroba	1
rinnovare	1
olivabassa	1
Baja	1
bizarro	1
valoroso	3
schermire	1
Como	1
affaccendare	1
Adios	1
festoso	1
ringhioso	1
scontentezza	2
inasprire	2
pochi	1
superstite	1
dimenticato	3
rizzare	1
berlina	1
merletto	1
parasole	1
stivale	3
XIX	1
irrequietudine	2
ficcanaso	1
ombroso	2
inconcludente	1
Checchina	3
pipistrello	1
cert'	1
eccezione	2
scomodare	1
adescare	1
discussione	2
moroso	1
naturalezza	1
bisaccia	1
borraccia	1
fiaschette	1
Dorotea	1
galante	3
lucro	1
farsene	1
Zobeida	1
rampicare	1
fascino	1
orso	1
attillato	1
tuba	1
inglese	18
radere	2
nobildonna	3
offendere	2
cassetta	3
Giovita	2
pullulare	2
Suvvia	2
colmatene	1
canestrello	1
corba	3
poveruomo	1
reumi	1
felci	3
guazzare	1
chinare	5
porcino	1
od	1
vescia	1
misteriosamente	2
riecco	1
languido	1
inzaccherare	1
raggranellare	1
ripartire	2
specialmente	3
madama	2
genovese	3
abbiente	2
scapolo	1
venuta	1
Quercia	1
Cinque	1
Passere	1
Gè	2
zibibbo	1
tepore	1
ombrellino	1
scottare	1
Lucrezio	1
riservato	1
pudico	1
gemello	1
potrebb'	1
incinto	1
turbate	1
parto	1
cerchia	1
gemito	1
manifestazione	3
tollerabile	1
usuale	1
gnaulii	1
sonno	3
insonnia	1
rigirare	1
guanciale	1
men-tr'	1
acrobata	1
sfrondare	1
Certe	3
ferino	1
mormorio	1
vellutato	1
fìngere	1
derelitto	1
lugaro	1
sfrontato	1
sciolto	3
miagolare	1
vendetta	4
costituire	1
cerusico	1
pallino	1
inavvertitamente	1
Convalescente	1
immobile	3
ritemprare	1
Stato	2
ideale	3
fondare	4
descrivere	1
immaginario	1
Arbòrea	1
governo	2
inclinazione	1
inventore	1
sopravvento	2
zibaldone	1
duello	1
erotico	1
inserire	1
matrimoniale	1
epilogo	1
incompiuto	1
riassunto	1
firmare	3
lettore	1
biglietto	3
ventun	1
patrimonio	1
aggradiva	1
poverina	2
usufruttuario	1
mensile	1
pacifico	1
periodo	3
tributare	1
Voltaire	5
rappresentazione	1
meritare	2
scritta	1
rampanto	5
nazione	3
almanacco	1
Ombreuse	1
Rép	1
Génoise	1
Vit	1
seulement	2
sur	2
les	7
arbres	3
lanugine	1
locusta	1
mostro	1
Ermafrodito	1
Sirena	1
ricevimento	1
coccolare	1
allegro	1
pasqua	1
apostrofare	3
chez	1
vous	6
mon	9
cher	1
Chevalier	1
qu'	2
fameux	1
philosophe	1
vit	1
camme	1
singe	1
lusingare	2
frère	2
Rondeau	2
fors'	1
fenomeno	2
Mais	2
pour	2
approcher	1
du	1
ciel	1
votre	5
reste	1
làhaut	1
Jadis	1
était	1
Nature	1
créait	1
phénomènes	1
vivants	1
concludere	1
maintenant	1
Raison	1
rituffare	1
chiacchiericcio	1
pinzochere	1
teiste	1
dispaccio	1
urgente	1
asma	3
improvvisamente	6
aggravare	2
penombra	2
vendemmia	9
correntemente	1
senno	3
indifferentemente	1
capezzale	1
medicina	1
spicchio	2
arancia	2
arpione	2
consolle	2
Notai	1
scialle	2
notai	1
assopire	2
vegliare	1
lucernetta	2
rimedio	1
zufolare	1
arietta	1
dispiegare	1
festone	3
glicine	2
ciotola	3
bolla	3
malata	1
iride	1
disapprovare	1
futile	1
infantile	1
evento	2
lieto	1
promessa	3
Indiano	1
mensoletta	1
fidanzata	1
tranquillizzare	1
invincibile	1
sposatici	1
cognato	2
mazzo	1
disabitato	2
cattivi	1
muta	1
alane	1
mastine	1
disteso	1
scontento	1
fugace	1
fragile	2
inquieto	3
risdraiò	1
riprender	1
pisciacchiava	1
Tolemaico	7
bracconiere	1
guardiacaccia	7
vigile	1
addentrare	1
impaziente	2
leone	5
pilastro	3
stemma	1
immenso	1
patina	1
sgomento	2
sgombro	3
impercorribile	1
vertigine	1
slanciare	2
ubbidire	1
virgola	1
assenza	1
invalicabile	2
angoscia	1
poc'	1
attesa	6
sbracare	1
insegna	1
divisa	3
appiattì	1
sergente	1
can	1
striscia	1
vedovella	2
ottant'	1
ventuno	1
pazzia	5
visitare	2
cascamorti	1
MA	1
Vossignoria	1
stecchetto	1
Riapparì	1
puntino	1
valicare	1
Duchessa	2
vedova	6
Marchesina	1
pastasciutta	1
ghignare	1
incolmabilità	1
prolungare	1
XXI	1
brillare	1
pisello	1
smeraldo	1
cavaliere	12
amazzone	10
riemergere	2
margine	2
torreggiare	1
diagonalmente	1
scomparsa	1
barone	7
183	1
diagonale	1
avvedere	1
fastidio	3
sbatacchiare	1
sbatacchioni	1
rispondente	1
sete	1
allarmante	1
zigzag	1
prevedere	2
evoluzione	1
prestanza	1
men	1
sormontare	1
Sofonisba	1
inconfessato	1
castagneto	1
ligneo	1
lucido	1
appello	1
pernice	1
roveti	2
infangare	1
pantano	1
sfrecciare	1
inafferrabile	1
incitamento	1
baccel	1
carrube	2
infiammare	1
sortire	1
piviere	1
inganno	1
sostanza	1
scordare	2
ghiaia	2
minutamente	1
sciocco	2
chioschetto	1
anfora	1
pendente	1
tubare	2
upupa	2
trillo	1
pi1	1
fìtto	2
cinguettìo	1
smontare	2
portico	1
Ortensia	1
Gaetano	2
Tarquinio	1
riverniciare	1
tavolo	2
spinetta	1
rassettare	1
mobile	1
ristabilire	1
batticuore	3
tornata	2
alterno	1
servitù	1
divano	2
clavicembalo	1
cantoniero	1
giardiniere	1
ridisporre	1
sedia	1
ampio	1
riappesa	1
ampiezza	1
passero	1
concesso	1
benissimo	1
irsuto	2
Sembri	1
Robinson	1
Ampelio	1
Aspettami	1
mille	1
valanga	3
caprifogli	1
capelveneri	1
essercisi	1
sommerso	1
folle	1
cipollone	1
Kurte-witz	1
Donna	14
puntuale	1
blusa	2
bordare	1
ironico	1
ortica	2
sottana	2
ficcanasare	1
civetta	6
rudere	1
topaia	1
serpe	1
garbare	1
maritare	1
pretendente	1
decrepito	1
affermazione	1
perentorio	1
duchessa	1
litigio	2
cinghiale	6
merli	4
assolutamente	1
uscita	2
sbigottito	1
Baciami	1
premette	1
sbottonare	1
botton	1
ripido	1
scopersero	1
limpido	2
increspatura	1
abbagliare	1
ridiscendere	1
verde-cupa	1
conca	1
ferito	4
fiasca	1
palma	2
disposto	2
repentino	1
XXII	1
pellegrinaggio	1
incisione	1
ottimare	3
Quassù	1
commosso	1
Turcaret	4
oscurare	1
faticare	1
dispettoso	1
smuovere	1
stagione	3
esperta	1
eroico	1
generosità	1
facoltà	2
attorcere	1
impervio	1
inforcatura	1
gara	3
acrobazia	1
culminare	1
puntellare	1
amoroso	3
indugio	1
mollezza	1
perversità	1
raffinato	2
repubblicano	8
licenzioso	1
insaziabile	2
stoico	1
asceta	1
puritano	1
voluttà	1
bacio	1
verbale	1
offuscare	1
salute	2
pienezza	1
predicare	2
teologo	1
filosofìca	1
turbare	3
capriccioso	1
viziato	1
colmare	1
insoddisfatto	1
screziare	1
amaca	3
tendaggio	2
apparecchio	1
genio	1
dono	1
creare	2
lusso	1
comodità	3
complicare	1
ottenere	2
miracoloso	1
facilità	1
immediatamente	2
alcova	1
cantarei	1
pettirosso	2
vanesse	1
alluce	1
ghiri	2
interrogare	1
filosofìa	2
nonnulla	1
ira	12
ghiaccio	1
agile	1
qual	2
innocenza	1
slegare	1
disperare	2
galoppata	1
supplicare	1
rischioso	1
ripassare	1
Guarda	2
tempestare	1
distruttore	1
sguernito	1
ricatto	1
sfìorata	1
repentinamente	1
pietà	1
Chi	1
filosofia	1
negativo	1
clamoroso	2
esplosione	2
incontenibile	1
Yo	1
quiero	1
the	2
most	1
wonderful	1
puellam	1
mundo	1
panchina	1
declamare	3
Zu	1
zu	1
gunàika	1
Vo	2
En	1
isla	1
Jamaica	1
Du	1
soir	1
jusqu'	1
au	1
matin	1
pré	1
where	1
grass	1
grows	1
toda	1
Take	1
away	2
take	1
classico	1
moderno	1
approfondire	1
predicazione	1
emozione	1
stendardo	1
comparire	2
agilità	1
acrobatico	1
Que	1
die	1
schöne	1
Venus	1
posterior	1
palo	4
insaponare	1
arrestare	1
ratto	1
trofeo	1
roseo	1
rivolò	1
esuberanza	1
ricambiare	1
altrettanto	1
rapinoso	1
immergere	1
nonpoteva	1
equestre	1
ammirare	1
indistinto	1
destriero	1
capriolo	1
rincorsa	1
sbilenco	1
sino	1
brucare	1
ramoscello	2
pettegolo	2
fantastico	1
XXIII	1
Ombrosot-ti	1
precedente	1
riserbo	1
riprovare	2
esteriore	1
Chissà	1
mobilio	1
stravaganza	1
tollerante	1
ipocrita	1
offesa	1
pausa	1
riflessione	1
agricolo	1
gradassate	1
persistere	1
testardo	2
alacrità	1
fierezza	1
turbine	1
ripadroneggiare	1
saggia	1
economia	1
innamoramento	2
trionfare	2
ansioso	2
inchiesta	1
riaccendere	2
contratto	1
commerciare	1
illustrare	2
parigino	2
sontuoso	1
splendere	1
stentare	1
trasalire	2
Tenete	1
ammiratore	1
contagiare	1
selvatichezza	2
giostra	1
privilegiato	1
ritiro	1
macerare	1
penitenza	2
stento	1
Parigini	1
prevenire	1
avviso	1
letteratura	1
menzogna	2
mia	1
salutarmi	1
tralasciare	1
angusto	1
efficace	1
mentalità	1
notaio	1
gotta	1
ardito	1
ammiraglia	3
ammiraglio	1
notabile	1
invaghire	1
luogotenente	13
vascello	5
flotta	1
napoletano	9
nolo	1
sauro	1
roteare	1
saettare	1
starsene	1
venirsene	1
matinée	1
ravvicinare	2
rivale	4
gradire	2
egual	1
sorveglianza	1
prescelto	1
agire	2
beffare	1
chiosco	1
arredare	1
cerbottana	2
stereo	1
sporgersi	1
cerbottanata	1
Who'	1
s	1
there	2
collega	2
beg	1
your	1
pardon	1
Sir	11
debbo	1
Vostra	1
replica	1
I'	1
m	1
sorry	1
casato	2
Salvatore	6
San	5
Ca	1
taldo	1
Capua	1
Vetere	1
Sicilie	1
Osbert	9
Castlefìght	1
battervi	1
inquartato	1
tenente	12
finta	1
culmine	3
foga	1
Fermatevi	1
Miei	2
pregare	4
Milady	4
Entrate	1
accomodatevi	1
illuso	1
licenza	1
congedare	2
miei	2
sventato	2
scusare	1
assiduità	1
eleganza	1
appassionato	1
Cataldo	4
rinunciare	2
sottosopra	1
indietreggiare	1
radioso	1
inchinatisi	1
riverenza	1
commiato	1
was	1
sure	1
you	2
were	1
gentleman	1
Mister	1
Osberto	1
Amici	1
Sciocconi	1
staffa	1
pregustare	1
virile	1
immodesto	1
riconciliare	1
dispositivo	1
generosamente	1
sedetevi	1
vivamente	1
What	1
are	1
doing	1
up	1
down	1
perplesso	1
complesso	1
any	1
way	1
acconsentire	3
chicchessia	1
compimento	1
arcioni	1
duplice	1
gualdrappa	1
indignato	1
Scimmione	1
fiammeggianti	1
purezza	1
arcangelo	1
sbranare	1
implacabile	1
rampante211tra	1
vermiii	1
corteggiatore	1
contesa	1
tormento	1
ex	3
inseparabile	1
osteria	3
mantenimento	1
soppiantare	1
degradazione	1
tetramente	1
assoluto	4
Vaccate	1
quanti	1
crudele	1
salpare	1
disertore	2
disertare	2
trionfalmente	1
sbancare	1
freddezza	1
indurire	1
lineamento	1
altero	1
portamento	1
contrarietà	1
verme	1
avvenimento	1
storico	1
Rivoluzione	4
entourage	1
Lafayette	2
emigrare	2
Belgio	1
nebbia	1
Londra	3
risposare	1
Lord	2
Calcutta	1
Co-simo	1
giaguaro	1
Castlefight	1
avventuriero	1
Gottinga	1
Pietroburgo	1
Caterina	1
vagabondare	1
neonato	1
approssimare	2
trillare	1
tortora	1
cinguettare	1
distruggitrice	1
travature	1
temperino	1
scorticare	1
abbrividente	1
rimordere	1
significare	1
stimare	1
bizza	1
farmi	1
XXIV	1
originale	1
sacrilego	1
eretico	2
cartaginese	1
Pelagiani	1
Socinianesimo	1
polacco	1
ammattire	3
benpensante	1
soggiungere	2
adornare	1
aborigeno	1
verdone	1
vivace	2
lombrico	2
ricchezza	1
apologia	1
motteggiare	1
pennuto	1
codibugnolo	2
barbagianni	1
opportuno	1
camuffamento	1
accusa	2
parabola	1
incutere	1
soggezione	1
codazzo	1
fannullone	1
addobbare	2
scritti	2
cartello	1
Seneca	1
